"325","FL","West Palm Beach",,"82103","26.71","-80.06"
"326","OH","Youngstown",,"82026","41.1","-80.65"
"327","IL","Decatur",,"81860","39.85","-88.94"
"328","WI","Racine",,"81855","42.73","-87.81"
"329","PA","Reading",,"81207","40.34","-75.93"
"330","MI","Troy",,"80959","42.58","-83.14"
"331","CA","Redding",,"80865","40.58","-122.37"
"332","OH","Canton",,"80806","40.8","-81.38"
"333","TX","Denton",,"80537","33.22","-97.13"
"334","AR","Fort Smith",,"80268","35.37","-94.4"
"335","KS","Lawrence",,"80098","38.96","-95.25"
"336","NY","Cheektowaga",,"79988","42.91","-78.76"
"337","CA","Roseville",,"79921","38.75","-121.29"
"338","NJ","Camden",,"79904","39.94","-75.11"
"339","SC","North Charleston",,"79641","32.89","-80.02"
"340","WA","Kent",,"79524","47.38","-122.23"
"341","CA","San Leandro",,"79452","37.71","-122.15"
"342","FL","Palm Bay",,"79413","27.98","-80.66"
"343","CA","Lakewood",,"79345","33.85","-118.12"
"344","GA","Roswell",,"79334","34.03","-84.34"
"345","RI","Cranston",,"79269","41.77","-71.45"
"346","NJ","Clifton",,"78672","40.87","-74.15"
"347","FL","Lakeland",,"78452","28.04","-81.96"
"348","MI","Southfield",,"78296","42.48","-83.24"
"349","CA","Buena Park",,"78282","33.86","-118"
"350","CA","Carlsbad",,"78247","33.12","-117.3"
"351","FL","Pompano Beach",,"78191","26.23","-80.13"
"352","AL","Tuscaloosa",,"77906","33.21","-87.53"
"353","FL","Brandon",,"77895","27.93","-82.29"
"354","TX","Lewisville",,"77737","33.04","-97.01"
"355","AZ","Yuma",,"77515","32.69","-114.62"
"356","MA","Somerville",,"77478","42.39","-71.1"
"357","CA","Santa Maria",,"77423","34.95","-120.43"
"358","UT","Ogden",,"77226","41.23","-111.96"
"359","MI","Kalamazoo",,"77145","42.28","-85.58"
"360","GA","Albany",,"76939","31.58","-84.17"
"361","CO","Greeley",,"76930","40.42","-104.72"
"362","MD","Silver Spring",,"76540","39","-77.02"
"363","PA","Scranton",,"76415","41.41","-75.67"
"364","MI","Canton",,"76366","42.31","-83.48"
"365","OR","Beaverton",,"76129","45.48","-122.81"
"366","IL","Arlington Heights",,"76031","42.09","-87.98"
"367","NC","Wilmington",,"75838","34.22","-77.91"
"368","CA","Baldwin Park",,"75837","34.08","-117.97"
"369","FL","Davie",,"75720","26.08","-80.28"
"370","CA","Redwood City",,"75402","37.48","-122.24"
"371","IL","Schaumburg",,"75386","42.03","-88.09"
"372","FL","Kendall",,"75226","25.67","-80.36"
"373","OK","Broken Arrow",,"74859","36.04","-95.78"
"374","CT","Danbury",,"74848","41.4","-73.46"
"375","FL","Boca Raton",,"74764","26.37","-80.1"
"376","NM","Las Cruces",,"74267","32.32","-106.77"
"377","IL","Evanston",,"74239","42.05","-87.69"
"378","MO","St. Joseph",,"73990","39.76","-94.84"
"379","CA","Livermore",,"73345","37.69","-121.76"
"380","TX","Longview",,"73344","32.51","-94.75"
"381","MI","Waterford",,"73150","42.66","-83.38"
"382","RI","Pawtucket",,"72958","41.88","-71.38"
"383","CA","Bellflower",,"72878","33.89","-118.13"
"384","FL","Miramar",,"72739","25.98","-80.28"
"385","DE","Wilmington",,"72664","39.75","-75.55"
"386","CA","Napa",,"72585","38.3","-122.3"
"387","FL","Town 'n' Country",,"72523","28.01","-82.57"
"388","CA","Alameda",,"72259","37.76","-122.26"
"389","NY","New Rochelle",,"72182","40.93","-73.78"
"390","MA","Lawrence",,"72043","42.7","-71.16"
"391","WA","Yakima",,"71845","46.6","-120.53"
"392","LA","Lake Charles",,"71757","30.21","-93.21"
"393","CT","New Britain",,"71538","41.67","-72.78"
"394","FL","Melbourne",,"71382","28.12","-80.63"
"395","PA","Bethlehem",,"71329","40.63","-75.38"
"396","MS","Gulfport",,"71127","30.4","-89.08"
"397","CO","Longmont",,"71093","40.17","-105.11"
"398","CO","Highlands Ranch",,"70931","39.54","-104.97"
"399","CA","Mountain View",,"70708","37.39","-122.08"
"400","MO","Lee's Summit",,"70700","38.92","-94.37"
"401","LA","Kenner",,"70517","30.01","-90.25"
"402","OR","Hillsboro",,"70186","45.52","-122.94"
"403","WI","Appleton",,"70087","44.27","-88.4"
"404","CA","Newport Beach",,"70032","33.62","-117.9"
"405","CA","Lynwood",,"69845","33.92","-118.2"
"406","NJ","East Orange",,"69824","40.77","-74.21"
"407","FL","Deltona",,"69543","28.91","-81.22"
"408","FL","Largo",,"69371","27.91","-82.78"
"409","MI","Wyoming",,"69368","42.9","-85.7"
"410","IN","Bloomington",,"69291","39.16","-86.53"
"411","FL","Spring Hill",,"69078","28.48","-82.55"
"412","NC","Asheville",,"68889","35.58","-82.56"
"413","MI","Rochester Hills",,"68825","42.67","-83.16"
"414","TN","Murfreesboro",,"68816","35.86","-86.39"
"415","IA","Waterloo",,"68747","42.49","-92.35"
"416","OH","Lorain",,"68652","41.45","-82.17"
"417","CA","Clovis",,"68468","36.82","-119.69"
"418","CA","Upland",,"68393","34.11","-117.66"
"419","NY","Mount Vernon",,"68381","40.91","-73.83"
"420","UT","West Jordan",,"68336","40.61","-111.98"
"421","OK","Edmond",,"68315","35.66","-97.46"
"422","TX","College Station",,"67890","30.6","-96.31"
"423","NJ","Passaic",,"67861","40.86","-74.13"
"424","IL","Champaign",,"67518","40.11","-88.26"
"425","CA","Tustin",,"67504","33.74","-117.81"
"426","IN","Muncie",,"67430","40.19","-85.39"
"427","MN","Brooklyn Park",,"67388","45.1","-93.35"
"428","WA","Bellingham",,"67171","48.75","-122.47"
"429","CA","Chino",,"67168","34.02","-117.69"
"430","NJ","Union City",,"67088","40.77","-74.03"
"431","MA","Framingham",,"66910","42.3","-71.43"
"432","CA","Union City",,"66869","37.59","-122.05"
"433","CA","Chino Hills",,"66787","33.98","-117.72"
"434","NC","Jacksonville",,"66715","34.76","-77.41"
"435","TX","Baytown",,"66430","29.74","-94.97"
"436","NV","Sparks",,"66346","39.55","-119.74"
"437","MI","Pontiac",,"66337","42.65","-83.29"
"438","NC","Gastonia",,"66277","35.26","-81.18"
"439","MN","Plymouth",,"65894","45.02","-93.46"
"440","MI","Taylor",,"65868","42.23","-83.26"
"441","TX","Bryan",,"65660","30.67","-96.37"
"442","IL","Palatine",,"65479","42.12","-88.04"
"443","OH","Springfield",,"65358","39.93","-83.8"
"444","VA","Lynchburg",,"65269","37.4","-79.17"
"445","MI","Shelby",,"65159","42.67","-83.03"
"446","MI","West Bloomfield Township",,"64862","42.57","-83.38"
"447","WI","Waukesha",,"64825","43.01","-88.24"
"448","IL","Bloomington",,"64808","40.48","-88.98"
"449","FL","Deerfield Beach",,"64583","26.31","-80.12"
"450","CA","Walnut Creek",,"64296","37.91","-122.05"
"451","ME","Portland",,"64249","43.67","-70.27"
"452","FL","Daytona Beach",,"64112","29.21","-81.04"
"453","CA","Victorville",,"64029","34.52","-117.34"
"454","CA","Merced",,"63893","37.31","-120.48"
"455","VA","Suffolk",,"63677","36.74","-76.61"
"456","CA","Pleasanton",,"63654","37.67","-121.88"
"457","CA","Redlands",,"63591","34.06","-117.17"
"458","CT","West Hartford",,"63589","41.76","-72.74"
"459","MN","Eagan",,"63557","44.81","-93.17"
"460","CA","Pico Rivera",,"63428","33.99","-118.09"
"461","IL","Skokie",,"63348","42.04","-87.74"
"462","TX","Sugar Land",,"63328","29.6","-95.61"
"463","CA","Redondo Beach",,"63261","33.86","-118.38"
"464","OR","Medford",,"63154","42.33","-122.86"
"465","MI","St. Clair Shores",,"63096","42.49","-82.9"
"466","WI","Oshkosh",,"62916","44.02","-88.55"
"467","AL","Hoover",,"62742","33.39","-86.8"
"468","CA","Milpitas",,"62698","37.43","-121.9"
"469","CA","Hesperia",,"62582","34.41","-117.31"
"470","MD","Dundalk",,"62306","39.27","-76.51"
"471","IA","Iowa City",,"62220","41.66","-91.52"
"472","NM","Santa Fe",,"62203","35.67","-105.96"
"473","CA","Montebello",,"62150","34.01","-118.11"
"474","CA","Laguna Niguel",,"61891","33.53","-117.7"
"475","NJ","Bayonne",,"61842","40.67","-74.12"
"476","NY","Schenectady",,"61821","42.8","-73.93"
"477","MI","Saginaw",,"61799","43.42","-83.95"
"478","NY","Tonawanda",,"61729","42.99","-78.85"
"479","WI","Eau Claire",,"61704","44.81","-91.49"
"480","MN","Coon Rapids",,"61607","45.17","-93.31"
"481","CA","Huntington Park",,"61348","33.98","-118.22"
"482","WI","West Allis",,"61254","43.01","-88.02"
"483","TX","Round Rock",,"61136","30.51","-97.67"
"484","NJ","Irvington",,"60695","40.73","-74.23"
"485","OH","Hamilton",,"60690","39.4","-84.56"
"486","NY","Utica",,"60651","43.1","-75.23"
"487","TX","Victoria",,"60603","28.82","-96.99"
"488","CA","South San Francisco",,"60552","37.66","-122.43"
"489","NC","Greenville",,"60476","35.6","-77.37"
"490","AR","North Little Rock",,"60433","34.78","-92.26"
"491","FL","Boynton Beach",,"60389","26.53","-80.08"
"492","MO","St. Charles",,"60321","38.79","-90.51"
"493","CA","Davis",,"60308","38.55","-121.74"
"494","MN","Burnsville",,"60220","44.76","-93.28"
"495","CA","Florence-Graham",,"60197","33.97","-118.24"
"496","CT","Bristol",,"60062","41.68","-72.93"
"497","MI","Royal Oak",,"60062","42.5","-83.15"
"498","CA","Monterey Park",,"60051","34.05","-118.14"
"499","FL","Delray Beach",,"60020","26.46","-80.08"
"500","CA","Elk Grove",,"59984","38.44","-121.38"
"501","CA","Chico",,"59954","39.74","-121.84"
"502","FL","North Miami",,"59880","25.9","-80.19"
"503","IN","Anderson",,"59734","40.1","-85.68"
"504","TN","Jackson",,"59643","35.63","-88.82"
"505","IN","Terre Haute",,"59614","39.47","-87.39"
"506","SD","Rapid City",,"59607","44.08","-103.23"
"507","FL","Fountainbleau",,"59549","25.77","-80.35"
"508","WI","Janesville",,"59498","42.68","-89.02"
"509","FL","Carol",,"59443","25.94","-80.27"
"510","FL","Palm Harbor",,"59248","28.08","-82.75"
"511","MA","Waltham",,"59226","42.38","-71.24"
"512","MN","St. Cloud",,"59107","45.56","-94.17"
"513","CA","La Habra",,"58974","33.93","-117.95"
"514","MA","Haverhill",,"58969","42.78","-71.08"
"515","CA","Yorba Linda",,"58918","33.89","-117.79"
"516","CA","Hemet",,"58812","33.74","-116.98"
"517","GA","Marietta",,"58748","33.95","-84.54"
"518","IL","Des Plaines",,"58720","42.03","-87.9"
"519","CA","Lake Forest",,"58707","33.64","-117.69"
"520","CA","Palo Alto",,"58598","37.43","-122.14"
