21,"town","Cottonwood"
21,"town","Dallam"
21,"town","Democrat Crossing"
21,"town","Dinkins"
21,"town","Edge"
21,"town","Enright"
21,"town","Fairview"
21,"town","Fountain"
21,"town","Kings Highway"
21,"town","Macey"
21,"town","Mooring"
21,"town","Mudville"
21,"town","Nelleva"
21,"town","Peach Creek"
21,"town","Reliance"
21,"town","Royder"
21,"town","Sims"
21,"town","Smetana"
21,"town","Steep Hollow"
21,"town","Stone City"
21,"town","Tabor"
21,"town","Union"
21,"town","Varisco"
21,"town","Wellborn"
21,"town","Wicker"
22,"county","Brewster"
22,"city","Alpine"
22,"city","Marathon"
22,"city","Study Butte"
22,"city","Terlingua"
22,"town","Altuda"
22,"town","Ansley Place"
22,"town","Basin Junction"
22,"town","Beatty Place"
22,"town","Boquillas Crossing"
22,"town","Buenos Aires"
22,"town","Casa de Piedra"
22,"town","Castolon"
22,"town","Causey Place"
22,"town","Comptons"
22,"town","Corner Windmill"
22,"town","Edwards Place"
22,"town","Flugrath"
22,"town","Fourmile Crossing"
22,"town","Haymond"
22,"town","Hot Springs"
22,"town","Hovey"
22,"town","Kriebaum Place"
22,"town","Lajitas"
22,"town","Lenox"
22,"town","Louis Granger Place"
22,"town","Loy Place"
22,"town","Lunas"
22,"town","Matthews Place"
22,"town","McFarland Place"
22,"town","McKinney Springs"
22,"town","Millers"
22,"town","Mitchell Place"
22,"town","Old Beekley Place"
22,"town","Old Corbett Place"
22,"town","Old Edith Lochausen Place"
22,"town","Old Oscar Nance Place"
22,"town","Old Parker Place"
22,"town","Old Reed Place"
22,"town","Onion Spring"
22,"town","Pantera"
22,"town","Panther Junction"
22,"town","Pettits"
22,"town","Rio Grande Village"
22,"town","Rooneys Place"
22,"town","Rosenfeld"
22,"town","San Francisco"
22,"town","San Vicente Crossing"
22,"town","Santa Elena Crossing"
22,"town","Shoemaker Place"
22,"town","Sid Place"
22,"town","Sierra Chino"
22,"town","Solis"
22,"town","Solis Landing"
22,"town","Stillwell Crossing"
22,"town","Stuart Place"
22,"town","Talley"
22,"town","Terlingua Abaja"
22,"town","Tesnus"
22,"town","Titley"
22,"town","Toronto"
22,"town","Tres Papalotes"
22,"town","Walker Place"
22,"town","Woodsons"
22,"town","Youngblood Place"
23,"county","Briscoe"
23,"city","Quitaque"
23,"city","Silverton"
23,"town","Antelope Flats"
23,"town","Rock Creek"
23,"town","Whitney"
23,"town","Woodburn Place"
24,"county","Brooks"
24,"city","Airport Road Addition"
24,"city","Airport Road Addition Colonia"
24,"city","Cantu Addition"
24,"city","Encino"
24,"city","Falfurrias"
24,"city","Flowella"
24,"city","Victory Place Colonia"
24,"town","Alto Colorado"
24,"town","Belmares Trailer Park Colonia"
24,"town","Hartland"
24,"town","La India"
24,"town","Noria Willie"
